"","sum","sd","subj","upper","lower"
"X104",-0.693026549758529,0.00068085561719522,104,-0.692345694141333,-0.693707405375724
"X105",-0.58830528731577,0.00293068171130832,105,-0.585374605604462,-0.591235969027079
"X106",-0.61628016600256,0.0035181450369036,106,-0.612762020965657,-0.619798311039464
"X107",-1.10357069536741,0.0224768299040565,107,-1.08109386546335,-1.12604752527147
"X108",-0.468935984565471,0.0097764048413085,108,-0.459159579724162,-0.478712389406779
"X109",-0.406772067727608,0.00680533599188384,109,-0.399966731735724,-0.413577403719492
"X110",-0.533238643280597,0.00538450473595118,110,-0.527854138544646,-0.538623148016548
"X111",-0.695930956086321,0.0031942327024926,111,-0.692736723383828,-0.699125188788814
"X112",-0.624878684826472,0.00367113310590959,112,-0.621207551720563,-0.628549817932382
"X113",-0.629059551993448,0.00427708759188222,113,-0.624782464401566,-0.63333663958533
"X114",-0.495410972627314,0.00945579878962284,114,-0.485955173837691,-0.504866771416937
"X115",-0.418767904276493,0.0103205702536651,115,-0.408447334022828,-0.429088474530158
"X116",-0.701563519992374,0.00436174575304227,116,-0.697201774239331,-0.705925265745416
"X117",-0.642221173818425,0.00187654361568051,117,-0.640344630202745,-0.644097717434106
"X118",-0.626694508942522,0.003250139712615,118,-0.623444369229907,-0.629944648655137
"X119",-0.676402379463658,0.00429679791663795,119,-0.67210558154702,-0.680699177380296
"X120",-0.425570157801255,0.0104369100038426,120,-0.415133247797412,-0.436007067805098
"X121",-0.70314985367375,0.00102142380167146,121,-0.702128429872078,-0.704171277475421
"X122",-0.382243462099649,0.0104525257399188,122,-0.37179093635973,-0.392695987839567
"X123",-0.661843812758359,0.00189238448537886,123,-0.65995142827298,-0.663736197243737
"X124",-0.818761615963614,0.00810223223142598,124,-0.810659383732188,-0.82686384819504
"X125",-0.677945994234926,0.000621376198608578,125,-0.677324618036318,-0.678567370433535
"X126",-0.676268039110187,0.000321658093993019,126,-0.675946381016194,-0.67658969720418
"X127",-0.879818960206265,0.00952915224988144,127,-0.870289807956383,-0.889348112456146
"X128",-0.775270159951928,0.0139982444798611,128,-0.761271915472067,-0.789268404431789
"X129",-0.530841308902981,0.00731769118204884,129,-0.523523617720932,-0.53815900008503
"X130",-0.82108488860185,0.0169057620636972,130,-0.804179126538153,-0.837990650665547
"X131",-0.743497181608373,0.00400986112546994,131,-0.739487320482903,-0.747507042733843
"X132",-0.730689910245644,0.00171584591453447,132,-0.72897406433111,-0.732405756160179
"X133",-0.663601173663565,0.000857831118448561,133,-0.662743342545117,-0.664459004782014
"X134",-0.772879643016673,0.00406533085555719,134,-0.768814312161116,-0.77694497387223
"X135",-0.73913025576928,0.00214520630881498,135,-0.736985049460465,-0.741275462078095
"X136",-0.978693157182163,0.0121410921679578,136,-0.966552065014205,-0.990834249350121
"X137",-0.747946686678076,0.00251968806480326,137,-0.745426998613273,-0.75046637474288
"X138",-0.866548987641681,0.00760721278843155,138,-0.858941774853249,-0.874156200430112
"X139",-0.58043911369224,0.0084708517218,139,-0.57196826197044,-0.58890996541404
"X140",-0.76896750822074,0.00484209420166795,140,-0.764125414019072,-0.773809602422408
"X141",-0.617283243245604,0.00137696340830383,141,-0.6159062798373,-0.618660206653907
"X142",-0.658724140956467,0.00135010480533195,142,-0.657374036151135,-0.660074245761799
"X143",-0.468479073602326,0.00989473522330341,143,-0.458584338379023,-0.47837380882563
"X144",-0.499010440286212,0.00561461308151809,144,-0.493395827204694,-0.50462505336773
"X145",-0.762405823510549,0.00312108459819112,145,-0.759284738912357,-0.76552690810874
"X146",-0.659885884582982,0.0015426357873249,146,-0.658343248795657,-0.661428520370307
"X147",-0.627033662759032,0.00195835911072752,147,-0.625075303648305,-0.62899202186976
