"","sum","sd","subj","upper","lower"
"X83",-0.722748820928792,0.0409631610781447,83,-0.681785659850648,-0.763711982006937
"X84",-0.686276910305044,0.013395686352745,84,-0.672881223952299,-0.699672596657789
"X85",-0.656928691084268,0.0354846714992089,85,-0.62144401958506,-0.692413362583477
"X86",-0.573050311803063,0.0363541202008492,86,-0.536696191602214,-0.609404432003912
"X87",-0.340984160065731,0.0710157796227846,87,-0.269968380442946,-0.411999939688516
"X88",-0.709837244197397,0.050877108487851,88,-0.658960135709546,-0.760714352685248
"X89",-0.690741486873024,0.100651146511122,89,-0.590090340361902,-0.791392633384146
"X90",-0.619793150589948,0.0679321931563412,90,-0.551860957433607,-0.68772534374629
"X91",-0.720164653397654,0.0267521156634857,91,-0.693412537734168,-0.74691676906114
"X92",-0.354240609567412,0.0841219407397656,92,-0.270118668827646,-0.438362550307178
"X93",-0.897895996890496,0.143817620871701,93,-0.754078376018795,-1.0417136177622
"X94",-0.779692394521437,0.0516261269027921,94,-0.728066267618645,-0.831318521424229
"X95",-0.652209095127635,0.0634880628676449,95,-0.58872103225999,-0.71569715799528
"X96",-0.55958426033521,0.0525083739024191,96,-0.507075886432791,-0.61209263423763
"X97",-0.357753209378551,0.0833143640085983,97,-0.274438845369953,-0.441067573387149
"X98",-0.337180353958558,0.100745554423705,98,-0.236434799534853,-0.437925908382263
"X99",-0.653960174644803,0.0307197254134647,99,-0.623240449231338,-0.684679900058267
"X100",-0.344929213116298,0.0687639512181503,100,-0.276165261898148,-0.413693164334449
"X101",-0.683456277288621,0.0194787963851356,101,-0.663977480903485,-0.702935073673756
"X102",-0.51923895053831,0.0670053306436602,102,-0.45223361989465,-0.586244281181971
"X103",-0.1159539425743,0.02906586534103,103,-0.0868880772332704,-0.14501980791533
"X104",-0.696138705972214,0.0117899778452752,104,-0.684348728126939,-0.707928683817489
"X105",-0.543019917234033,0.0244733775162603,105,-0.518546539717773,-0.567493294750293
"X106",-0.786333453674606,0.108406749736492,106,-0.677926703938114,-0.894740203411099
"X107",-0.679257498525235,0.143674323859933,107,-0.535583174665302,-0.822931822385168
"X108",-0.234163292561936,0.0668700839483365,108,-0.167293208613599,-0.301033376510272
"X109",-0.524017710721589,0.180831298018848,109,-0.343186412702741,-0.704849008740438
"X110",-0.51286775826398,0.0636678395314367,110,-0.449199918732543,-0.576535597795417
"X111",-0.691664069652816,0.0235999855179171,111,-0.668064084134898,-0.715264055170733
"X112",-0.622101923541219,0.0497922408892411,112,-0.572309682651977,-0.67189416443046
"X113",-0.624846078733632,0.0308806914794768,113,-0.593965387254155,-0.655726770213109
"X114",-0.496814558529164,0.116560257794648,114,-0.380254300734516,-0.613374816323812
"X115",-0.496896539930265,0.206517544400832,115,-0.290378995529433,-0.703414084331097
"X116",-0.762217696922676,0.0863067704098429,116,-0.675910926512833,-0.848524467332519
"X117",-0.691876703467077,0.0391459611998957,117,-0.652730742267182,-0.731022664666973
"X118",-0.671702663376692,0.0731960024249372,118,-0.598506660951755,-0.74489866580163
"X119",-0.742897175630635,0.0407870378041987,119,-0.702110137826437,-0.783684213434834
"X120",-0.543278996769632,0.263951202256807,120,-0.279327794512825,-0.807230199026439
"X121",-0.785926511915153,0.0460959797926097,121,-0.739830532122543,-0.832022491707762
"X122",-0.119641425637027,0.0538511014807211,122,-0.0657903241563059,-0.173492527117748
"X123",-0.710311472967355,0.0633988163462105,123,-0.646912656621145,-0.773710289313566
"X124",-0.799387106468404,0.0748801379935687,124,-0.724506968474835,-0.874267244461972
"X125",-0.699169930574202,0.0300840282554628,125,-0.669085902318739,-0.729253958829665
"X126",-0.699658408641172,0.0314952679005133,126,-0.668163140740659,-0.731153676541686
"X127",-0.700291647347276,0.0413687786641956,127,-0.658922868683081,-0.741660426011472
"X128",-1.10592054904844,0.191421794369408,128,-0.914498754679028,-1.29734234341784
"X129",-0.39286291266334,0.0311615973916341,129,-0.361701315271706,-0.424024510054974
"X130",-1.55868156376313,0.271351311332559,130,-1.28733025243057,-1.83003287509569
"X131",-0.763972914472051,0.0568400143347807,131,-0.70713290013727,-0.820812928806832
"X132",-0.70172753656375,0.0110416127003567,132,-0.690685923863394,-0.712769149264107
"X133",-0.710491728058045,0.0442539469633321,133,-0.666237781094713,-0.754745675021377
"X134",-0.689327806144507,0.0214261634725547,134,-0.667901642671953,-0.710753969617062
"X135",-0.735514181443111,0.0424462159969963,135,-0.693067965446115,-0.777960397440108
"X136",-0.728001741958471,0.0754484582895877,136,-0.652553283668884,-0.803450200248059
"X137",-0.702305237839237,0.010966862975759,137,-0.691338374863478,-0.713272100814996
"X138",-0.637495364697688,0.0436959835125647,138,-0.593799381185124,-0.681191348210253
"X139",-0.779003610203256,0.115766712903196,139,-0.66323689730006,-0.894770323106453
"X140",-0.726217054359874,0.0518629449184533,140,-0.674354109441421,-0.778079999278328
"X141",-0.641508021295721,0.0271731445075592,141,-0.614334876788162,-0.66868116580328
"X142",-0.691511556391432,0.0288135257654427,142,-0.66269803062599,-0.720325082156875
"X143",-0.291434843592884,0.0848633469120867,143,-0.206571496680798,-0.376298190504971
"X144",-0.512519405830565,0.0815079616136075,144,-0.431011444216957,-0.594027367444173
"X145",-0.844203305526737,0.0587408547007331,145,-0.785462450826004,-0.90294416022747
"X146",-0.70191756810605,0.0422878282039909,146,-0.659629739902059,-0.74420539631004
"X147",-0.582536022289011,0.0160975875262212,147,-0.56643843476279,-0.598633609815232
"X148",-0.700769462552126,0.0124493946428024,148,-0.688320067909324,-0.713218857194929
