"","X","sum","sd","subj","upper","lower"
"120","X120",-0.641862304138468,0.067129722110943,120,-0.574732582027526,-0.708992026249411
"121","X121",-0.777721558720695,0.166701302486551,121,-0.611020256234144,-0.944422861207245
"122","X122",-0.30969106086056,0.0375750957686601,122,-0.2721159650919,-0.34726615662922
"123","X123",-0.450640677450637,0.131686323799175,123,-0.318954353651462,-0.582327001249812
"124","X124",-1.09664035459578,0.141454637811756,124,-0.95518571678402,-1.23809499240753
"125","X125",-0.358289843722111,0.0770547801998564,125,-0.281235063522255,-0.435344623921967
"126","X126",-0.784490619554831,0.0761173140589604,126,-0.708373305495871,-0.860607933613792
"127","X127",-0.165369997674082,0.0353283108572307,127,-0.130041686816851,-0.200698308531313
"128","X128",-0.306119335410029,0.0331360213400102,128,-0.272983314070019,-0.33925535675004
"129","X129",-0.734092735571882,0.0479840670865713,129,-0.68610866848531,-0.782076802658453
"130","X130",-0.692402738566102,0.0448521690593796,130,-0.647550569506722,-0.737254907625481
"131","X131",-0.552251214988339,0.0771121701934747,131,-0.475139044794865,-0.629363385181814
"132","X132",-0.192646649875481,0.0393757675703999,132,-0.153270882305081,-0.232022417445881
"133","X133",-0.724259554923722,0.0479453668675097,133,-0.676314188056212,-0.772204921791232
"134","X134",-0.231510022158629,0.149444523435506,134,-0.0820654987231239,-0.380954545594135
"135","X135",-0.711025538119588,0.0828888136576455,135,-0.628136724461942,-0.793914351777234
"136","X136",-1.61581432764675,0.527000479303185,136,-1.08881384834357,-2.14281480694994
"137","X137",-0.600999735838726,0.0427182695189078,137,-0.558281466319818,-0.643718005357633
"138","X138",-0.976083450997333,0.248497194574501,138,-0.727586256422832,-1.22458064557183
"139","X139",-0.474781563673501,0.0992715020623415,139,-0.37551006161116,-0.574053065735843
"140","X140",-0.868925096668178,0.143196891404155,140,-0.725728205264023,-1.01212198807233
"141","X141",-0.158102164036184,0.0188627752559288,141,-0.139239388780255,-0.176964939292112
"142","X142",-0.238988677646834,0.0602686251994746,142,-0.178720052447359,-0.299257302846308
"143","X143",-0.381666881816553,0.121937212819734,143,-0.259729668996818,-0.503604094636287
"144","X144",-0.659875212831474,0.025374971499971,144,-0.634500241331503,-0.685250184331445
"145","X145",-0.693503718791901,0.0749679567029864,145,-0.618535762088914,-0.768471675494887
"146","X146",-0.776890495384825,0.11388143903317,146,-0.663009056351655,-0.890771934417995
"147","X147",-0.0837218460385118,0.0432671083096255,147,-0.0404547377288863,-0.126988954348137
"148","X148",-0.49841464447067,0.0644265518279175,148,-0.433988092642752,-0.562841196298587
"149","X149",-1.08882135136609,0.400580618112977,149,-0.688240733253113,-1.48940196947907
"150","X150",-0.831423293804515,0.111988173226984,150,-0.71943512057753,-0.943411467031499
"151","X151",-0.603723073001229,0.0822725576400386,151,-0.521450515361191,-0.685995630641268
"152","X152",-0.249580373228131,0.0583786578641168,152,-0.191201715364014,-0.307959031092248
"153","X153",-0.81617640709617,0.0701012312724306,153,-0.74607517582374,-0.886277638368601
"154","X154",-0.429510274649502,0.106794186071616,154,-0.322716088577886,-0.536304460721119
