"","X","sum","sd","subj","upper","lower"
"135","X135",-0.69562175744992,0.0582375317943789,135,-0.637384225655542,-0.753859289244299
"136","X136",-1.34569528880803,0.308353392120388,136,-1.03734189668764,-1.65404868092842
"137","X137",-0.629909067774981,0.0337297029522823,137,-0.596179364822699,-0.663638770727264
"138","X138",-0.676296408191126,0.0838663892018038,138,-0.592430018989322,-0.760162797392929
"139","X139",-0.448358036395388,0.0718235583885077,139,-0.37653447800688,-0.520181594783895
"140","X140",-0.810262960565878,0.0996584502965728,140,-0.710604510269305,-0.909921410862451
"141","X141",-0.174464147240658,0.0156196939684541,141,-0.158844453272203,-0.190083841209112
"142","X142",-0.240305332708292,0.0536032079499196,142,-0.186702124758372,-0.293908540658211
"143","X143",-0.386304609419575,0.10194491602082,143,-0.284359693398755,-0.488249525440395
"144","X144",-0.653904326350982,0.0210554093699174,144,-0.632848916981065,-0.6749597357209
"145","X145",-0.650773080085941,0.0376363309171023,145,-0.613136749168839,-0.688409411003044
"146","X146",-0.696136218317062,0.073610089942378,146,-0.622526128374684,-0.76974630825944
"147","X147",-0.116984486442779,0.0477283452889846,147,-0.0692561411537942,-0.164712831731763
"148","X148",-0.469967453905657,0.0398250161920134,148,-0.430142437713644,-0.509792470097671
"149","X149",-0.887290195103746,0.294809606607892,149,-0.592480588495853,-1.18209980171164
"150","X150",-0.785541504201352,0.089253939231255,150,-0.696287564970097,-0.874795443432607
