"","sum","sd","subj","upper","lower"
"X51",-0.607780195817677,0.132486475802927,51,-0.47529372001475,-0.740266671620604
"X52",-0.632435964657366,0.0408303317691576,52,-0.591605632888208,-0.673266296426524
"X53",-0.709361106578724,0.0327407525268908,53,-0.676620354051834,-0.742101859105615
"X54",-0.722823648815981,0.0488585623418304,54,-0.673965086474151,-0.771682211157812
"X55",-0.663685164524911,0.0753332122144632,55,-0.588351952310447,-0.739018376739374
"X56",-0.553918880259943,0.364441265705718,56,-0.189477614554225,-0.918360145965661
"X57",-0.817562772394629,0.124616183622621,57,-0.692946588772009,-0.94217895601725
"X58",-1.11257262563892,0.234815047210701,58,-0.877757578428215,-1.34738767284962
"X59",-0.734286863397427,0.0997635460069809,59,-0.634523317390447,-0.834050409404408
"X60",-0.576895522359329,0.0823889147515554,60,-0.494506607607774,-0.659284437110885
"X61",-0.833415961750049,0.110297810435461,61,-0.723118151314587,-0.94371377218551
"X62",-0.61145390048186,0.112929046414156,62,-0.498524854067704,-0.724382946896016
"X63",-1.04257041889571,0.541780073404309,63,-0.5007903454914,-1.58435049230002
"X64",-0.721376353800716,0.0596282668692004,64,-0.661748086931515,-0.781004620669916
"X65",-0.58961427801461,0.11262897260496,65,-0.47698530540965,-0.70224325061957
"X66",-0.73183351161222,0.0481051947636291,66,-0.683728316848591,-0.779938706375849
"X67",-0.574351354785791,0.0482209092718131,67,-0.526130445513978,-0.622572264057604
"X68",-0.591321442364432,0.0318222892079233,68,-0.559499153156509,-0.623143731572355
"X69",-0.72249321009263,0.040856455509688,69,-0.681636754582942,-0.763349665602318
"X70",-0.579504704301823,0.0270605833802221,70,-0.552444120921601,-0.606565287682045
"X71",-1.10929816403299,0.492729154184834,71,-0.616569009848157,-1.60202731821783
"X72",-0.701882359068999,0.0174149736453986,72,-0.684467385423601,-0.719297332714398
"X73",-0.719236085809779,0.0520757023963213,73,-0.667160383413457,-0.7713117882061
"X74",-0.711206156245554,0.0334161705830247,74,-0.67778998566253,-0.744622326828579
"X75",-0.385660279561013,0.0810529385968311,75,-0.304607340964181,-0.466713218157844
"X76",-0.80018732739527,0.103910562487786,76,-0.696276764907484,-0.904097889883055
"X77",-0.698978762316104,0.0248290378046386,77,-0.674149724511465,-0.723807800120743
"X78",-0.535425870800613,0.031378674324056,78,-0.504047196476557,-0.566804545124669
"X79",-0.594193251265581,0.171522555054664,79,-0.422670696210917,-0.765715806320246
"X80",-0.598807704951982,0.0927082283042357,80,-0.506099476647747,-0.691515933256218
"X81",-0.734356475190562,0.065439081548304,81,-0.668917393642258,-0.799795556738866
"X82",-0.687708863634731,0.0188715796014216,82,-0.66883728403331,-0.706580443236153
"X83",-0.732430768797167,0.0635076511990904,83,-0.668923117598077,-0.795938419996258
"X84",-0.681308394457723,0.0215022315787025,84,-0.659806162879021,-0.702810626036426
"X85",-0.683009199517682,0.0372535878637067,85,-0.645755611653975,-0.720262787381389
"X86",-0.576708070917338,0.348484960740669,86,-0.228223110176669,-0.925193031658007
"X87",-0.166533093398681,0.061895929964009,87,-0.104637163434672,-0.22842902336269
"X88",-0.705013703983979,0.0529121508311944,88,-0.652101553152785,-0.757925854815174
"X89",-0.726947448758124,0.121821278246204,89,-0.60512617051192,-0.848768727004327
"X90",-0.639563979888765,0.0937612032186641,90,-0.545802776670101,-0.733325183107429
"X91",-0.739547851778643,0.0383374500517507,91,-0.701210401726893,-0.777885301830394
"X92",-0.311404274848421,0.123122668964075,92,-0.188281605884346,-0.434526943812496
"X93",-0.8207499359251,0.165780316472536,93,-0.654969619452564,-0.986530252397635
